iter	Logloss
0	0.6418220256
1	0.6030896697
2	0.5740199091
3	0.5533396028
4	0.5390626356
5	0.5253953368
6	0.5134810856
7	0.5032023108
8	0.4957235447
9	0.4890443313
10	0.4826127219
11	0.478634879
12	0.4744337362
13	0.4711701083
14	0.4674659965
15	0.4639568324
16	0.4600892095
17	0.4579869955
18	0.4557660358
19	0.4536231725
20	0.450830721
21	0.4489136512
22	0.4471606605
23	0.4450215647
24	0.4425331615
25	0.4405432024
26	0.4383932643
27	0.4371437167
28	0.4355717297
29	0.4336612232
30	0.4325435777
31	0.4308274664
32	0.4289873086
33	0.4274217372
34	0.4265003087
35	0.4252920074
36	0.4242027926
37	0.4232548593
38	0.4216297249
39	0.4201128868
40	0.4189411686
41	0.4175188713
42	0.4164572383
43	0.4158837409
44	0.4146916546
45	0.4134110573
46	0.4124672243
47	0.4114488512
48	0.4108495198
49	0.4095242794
50	0.4088141084
51	0.4080437319
52	0.4069326545
53	0.4057956492
54	0.4045279177
55	0.4034841116
56	0.4023300335
57	0.4014477217
58	0.4003585072
59	0.3997605232
60	0.3988229292
61	0.3972554462
62	0.3964165287
63	0.3956129507
64	0.3945137957
65	0.3937559672
66	0.3928196396
67	0.3918668327
68	0.390707515
69	0.3897275314
70	0.3888931455
71	0.3880873369
72	0.3873467667
73	0.3864737737
74	0.385511139
75	0.3847221787
76	0.3843202841
77	0.3832618413
78	0.3822653939
79	0.3816271149
80	0.380692227
81	0.3799771251
82	0.3790246206
83	0.378182094
84	0.3771744428
85	0.3763896184
86	0.3758101909
87	0.3752808413
88	0.3746169395
89	0.3739997642
90	0.3731597779
91	0.3726597161
92	0.3719756156
93	0.3714457265
94	0.3709432709
95	0.3701802443
96	0.369036726
97	0.3684031864
98	0.3674347267
99	0.3666880912
100	0.3659397496
101	0.3648114436
102	0.3640104069
103	0.3631148463
104	0.3622448042
105	0.3614625047
106	0.3605532493
107	0.3598180143
108	0.3592448977
109	0.358431536
110	0.3577372916
111	0.357247744
112	0.356477686
113	0.3557036488
114	0.3550433503
115	0.3539552651
116	0.3531701852
117	0.3524636519
118	0.3513346469
119	0.3507280634
120	0.3497468632
121	0.3490468669
122	0.3484883836
123	0.3478360656
124	0.3472369821
125	0.3466535228
126	0.3454699552
127	0.3446796757
128	0.3437848051
129	0.3429667359
130	0.3421549157
131	0.341474874
132	0.3408634444
133	0.3403759492
134	0.3397308115
135	0.3390223947
136	0.3379113713
137	0.3374222299
138	0.3367681377
139	0.3360204134
140	0.3352047907
141	0.3346477839
142	0.334130578
143	0.3336758034
144	0.3330363662
145	0.3324838015
146	0.331708831
147	0.330965675
148	0.3304841483
149	0.3297239497
150	0.3290226257
151	0.3285696582
152	0.3279062929
153	0.3274062771
154	0.3269796524
155	0.3263464349
156	0.3255795632
157	0.3248722908
158	0.3244226169
159	0.3239424254
160	0.3232262629
161	0.3223632413
162	0.3215920638
163	0.3208356369
164	0.3197690275
165	0.3191428607
166	0.3185790151
167	0.3178128258
168	0.3173852656
169	0.3167674137
170	0.3162866825
171	0.3157142575
172	0.3150011102
173	0.3144899917
174	0.3139953364
175	0.3132999948
176	0.312986968
177	0.31260563
178	0.3119374884
179	0.3114343816
180	0.3109719352
181	0.3106054821
182	0.3100122886
183	0.3095124021
184	0.3090337127
185	0.3084317608
186	0.3078923237
187	0.3074105042
188	0.3065694236
189	0.3060096558
190	0.3055620055
191	0.3052308186
192	0.3049013847
193	0.3045277311
194	0.3041016217
195	0.3034036302
196	0.3026500186
197	0.3023485716
198	0.3016796523
199	0.3012588609
