iter	Passed	Remaining
0	18	3629
1	34	3405
2	50	3289
3	66	3234
4	83	3242
5	167	5423
6	273	7535
7	295	7088
8	371	7881
9	382	7264
10	393	6754
11	403	6323
12	414	5965
13	425	5646
14	436	5378
15	448	5161
16	459	4948
17	469	4747
18	480	4581
19	492	4430
20	504	4299
21	516	4175
22	526	4055
23	536	3936
24	548	3839
25	562	3761
26	572	3669
27	582	3579
28	594	3505
29	606	3437
30	616	3361
31	628	3298
32	639	3237
33	649	3172
34	661	3119
35	673	3067
36	684	3014
37	694	2962
38	705	2912
39	715	2861
40	725	2814
41	734	2762
42	745	2723
43	756	2682
44	765	2636
45	775	2594
46	783	2551
47	795	2518
48	805	2482
49	815	2446
50	827	2418
51	839	2389
52	849	2355
53	859	2324
54	870	2294
55	878	2260
56	889	2230
57	897	2198
58	908	2171
59	919	2144
60	928	2114
61	939	2091
62	948	2063
63	959	2039
64	969	2013
65	978	1986
66	990	1965
67	1001	1943
68	1011	1919
69	1021	1897
70	1030	1872
71	1040	1849
72	1050	1827
73	1059	1804
74	1069	1783
75	1078	1759
76	1088	1738
77	1097	1717
78	1106	1695
79	1117	1675
80	1126	1655
81	1136	1635
82	1145	1614
83	1157	1597
84	1168	1580
85	1177	1560
86	1187	1542
87	1198	1525
88	1208	1507
89	1218	1489
90	1229	1472
91	1239	1454
92	1251	1439
93	1259	1420
94	1269	1403
95	1279	1385
96	1287	1367
97	1298	1351
98	1306	1333
99	1317	1317
100	1326	1299
101	1336	1283
102	1345	1267
103	1354	1250
104	1365	1235
105	1375	1219
106	1383	1202
107	1390	1184
108	1403	1171
109	1420	1161
110	1431	1148
111	1441	1132
112	1451	1117
113	1461	1102
114	1469	1086
115	1481	1072
116	1490	1057
117	1501	1043
118	1511	1028
119	1519	1013
120	1530	998
121	1538	983
122	1552	971
123	1562	957
124	1571	942
125	1581	928
126	1592	915
127	1601	900
128	1612	887
129	1620	872
130	1630	859
131	1641	845
132	1650	831
133	1661	818
134	1669	803
135	1680	790
136	1690	777
137	1698	763
138	1709	750
139	1718	736
140	1728	723
141	1738	709
142	1747	696
143	1757	683
144	1766	669
145	1776	657
146	1785	643
147	1795	630
148	1806	618
149	1815	605
150	1826	592
151	1838	580
152	1847	567
153	1858	555
154	1868	542
155	1877	529
156	1887	517
157	1896	504
158	1906	491
159	1915	478
160	1927	466
161	1938	454
162	1946	441
163	1957	429
164	1970	417
165	1980	405
166	1991	393
167	2001	381
168	2010	368
169	2019	356
170	2028	344
171	2039	332
172	2050	319
173	2059	307
174	2068	295
175	2078	283
176	2088	271
177	2098	259
178	2107	247
179	2117	235
180	2126	223
181	2137	211
182	2146	199
183	2156	187
184	2166	175
185	2175	163
186	2185	151
187	2194	140
188	2204	128
189	2214	116
190	2222	104
191	2232	93
192	2241	81
193	2252	69
194	2261	57
195	2270	46
196	2281	34
197	2290	23
198	2304	11
199	2314	0
